Filename,Year,Age,Country Code,Country Name,World Region,Size,Mean Color,Variance,AgeClass
2018_14-17_1649_SGP_R_C.jpg,2018,14-17,SGP,Singapore,Southeast Asia,"(924, 885)",[155.17848827 161.38579255 166.58442904],[4967.61272701 4888.70777379 5255.11077841],4
2018_MS_1536_MEX_R_C.jpg,2018,MS,MEX,Mexico,Latin America and the Caribbean,"(633, 814)",[155.446501   140.56497665 126.44558108],[3327.43433195 3124.74027986 3464.14502834],6
2018_14-17_1640_SGP_R_C.jpg,2018,14-17,SGP,Singapore,Southeast Asia,"(876, 1162)",[156.56278244 147.03231714 146.82512143],[3155.67806624 3166.27305788 3287.80941053],4
2018_14-17_1654_SGP_R_C.jpg,2018,14-17,SGP,Singapore,Southeast Asia,"(880, 613)",[80.80817514 76.30195388 74.04160796],[2652.00645178 2353.29213989 2080.73458236],4
2018_14-17_1663_SGP_R_C.jpg,2018,14-17,SGP,Singapore,Southeast Asia,"(943, 911)",[177.78813326 178.32661369 175.55355133],[6879.15593361 7058.60821851 6913.79554083],4
2018_14-17_1821_CZE_R_C.jpg,2018,14-17,CZE,Czech Republic,Eastern Europe,"(1237, 894)",[114.91063662  95.39683763  92.46563274],[3940.14117801 2116.69587443 2812.76438209],4
2018_MS_1538_MEX_R_C.jpg,2018,MS,MEX,Mexico,Latin America and the Caribbean,"(647, 823)",[155.29437107 158.04591713 157.38914065],[2405.44619474 2446.28259286 2535.25627049],6
2018_14-17_1634_SGP_R_C.jpg,2018,14-17,SGP,Singapore,Southeast Asia,"(915, 1407)",[156.95337132 149.25658515 143.66290484],[4751.05441635 4044.64551053 3503.191027  ],4
2018_14-17_1420_FRA_R_C.jpg,2018,14-17,FRA,France,Western Europe,"(871, 641)",[77.07834164 76.15664746 86.88299174],[1674.07310337 2282.44417525 2260.78628435],4
2018_MS_1531_MEX_R_C.jpg,2018,MS,MEX,Mexico,Latin America and the Caribbean,"(637, 815)",[142.4751317  124.75102041 114.58378134],[2601.27558761 2053.79716683 1893.44973012],6
2018_14-17_1839_ITA_R_C.jpg,2018,14-17,ITA,Italy,Southern Europe,"(1475, 1134)",[189.05747407 175.8693319  155.38858219],[3903.57715886 3927.5566705  3307.0386622 ],4
2018_MS_1529_MEX_R_C.jpg,2018,MS,MEX,Mexico,Latin America and the Caribbean,"(642, 819)",[141.41666381 138.54516754 132.38078311],[3844.79111726 3751.98628526 4272.76863455],6
2018_14-17_1666_UKR_R_C.jpg,2018,14-17,UKR,Ukraine,Eastern Europe,"(1776, 1271)",[125.33168579 125.18257021 128.19343498],[2095.79804489 2243.56224575 2389.17451436],4
2018_14-17_1289_SVK_R_C.jpg,2018,14-17,SVK,Slovakia,Eastern Europe,"(1266, 1788)",[53.5947938  50.63007243 59.86827622],[1206.99729528  815.44879784 1121.81686794],4
2018_14-17_1729_KAZ_R_C.jpg,2018,14-17,KAZ,Kazakhstan,Central Asia,"(1764, 1273)",[89.51113213 89.20739215 72.31425044],[2009.01246575 2043.75749189 1881.55379042],4
2018_14-17_1687_LTU_R_C.jpg,2018,14-17,LTU,Lithuania,Northern Europe,"(1891, 1361)",[75.52103646 67.28395497 47.69810009],[2265.2077441   867.02195303  574.87795715],4
2018_MS_0509_FRA_R_C.jpg,2018,MS,FRA,France,Western Europe,"(884, 1236)",[102.50062602  76.77377579 100.60347842],[1880.37398005 1887.6691198  2842.09964674],6
2018_14-17_1795_ITA_R_C.jpg,2018,14-17,ITA,Italy,Southern Europe,"(1429, 1009)",[62.83580803 66.18968888 77.04204011],[3232.2680195  3401.42266427 3182.78524746],4
2018_14-17_1810_GRC_R_C.jpg,2018,14-17,GRC,Greece,Southern Europe,"(1458, 1300)",[ 94.9864952  122.27275245 160.13269758],[2161.88340473 2403.1098854  4306.99850143],4
2018_MS_1537_MEX_R_C.jpg,2018,MS,MEX,Mexico,Latin America and the Caribbean,"(818, 641)",[148.12844005 145.44759296 145.52536722],[3787.37277115 4271.17631072 4709.46463367],6
2018_14-17_1894_POL_R_C.jpg,2018,14-17,POL,Poland,Eastern Europe,"(1239, 899)",[134.13987293 139.57190709 139.10671888],[7149.6196949  6932.93288467 7066.78586315],4
2018_14-17_1837_CZE_R_C.jpg,2018,14-17,CZE,Czech Republic,Eastern Europe,"(2261, 1282)",[170.31677409 170.45121234 170.73144882],[6609.42108909 6680.7893181  6378.35756837],4
2018_14-17_1632_SGP_R_C.jpg,2018,14-17,SGP,Singapore,Southeast Asia,"(1198, 925)",[134.32015341 132.85451248 123.3951216 ],[5829.55654254 5524.83328089 4643.91616155],4
2018_14-17_1577_CHN_R_C.jpg,2018,14-17,CHN,China,Eastern Asia,"(1235, 900)",[90.0420135  85.79797751 89.74706523],[3042.72649038 2724.40323729 2044.92398711],4
2018_14-17_1576_CHN_R_C.jpg,2018,14-17,CHN,China,Eastern Asia,"(1244, 900)",[129.46311183 112.96163183  90.78277242],[3572.75181718 2714.83449162 1999.916108  ],4
2018_14-17_1958_POL_R_C.jpg,2018,14-17,POL,Poland,Eastern Europe,"(1233, 1647)",[101.07886737 105.56549277  91.16786795],[2000.40312604 2212.05849621 1426.84434584],4
2018_14-17_1719_RUS_R_C.jpg,2018,14-17,RUS,Russia,Eastern Europe,"(1801, 1299)",[108.28404201 101.66393403  93.86030599],[2558.24415892 2439.63416962 2186.4241327 ],4
